cluster,lan_code,fraction
0,heb,1.0
1,eng,0.9997836434443964
2,rus,0.544978981784213
3,eng,0.8729806778587267
4,epo,0.9925565851435516
5,epo,0.9964379742914666
6,kab,0.866624284806103
7,nld,0.9041095890410958
8,deu,1.0
9,epo,1.0
10,por,1.0
11,ber,0.7142857142857143
12,eng,0.5727702796716293
13,por,0.3000313307746534
14,kab,0.5220159151193634
15,tur,0.9721783117293709
16,fra,0.9980816184164633
17,deu,0.5305519053876478
18,deu,0.9816222457423266
19,heb,1.0
20,fra,0.7
21,spa,0.320334006239677
22,ita,0.9888970453294182
23,nld,0.9996064541519087
24,ber,0.922077922077922
25,kab,0.4967741935483871
26,tur,1.0
27,ukr,0.503305785123967
28,tur,0.9955357142857143
29,rus,1.0
30,deu,0.8703337839243007
31,nld,0.9988795518207283
32,spa,0.5753424657534246
33,hun,0.9914262878732835
34,nld,0.4201040863531226
35,tur,1.0
36,fra,0.999798569845906
37,epo,1.0
38,ukr,1.0
39,pol,0.9832614942528736
40,rus,1.0
41,heb,1.0
42,nld,0.5931909212283044
43,epo,0.6491773545796088
44,tur,0.2257522307532683
45,ukr,1.0
46,spa,0.35233608921361276
47,nld,0.8944119558154646
48,spa,0.8179830953074906
49,ita,0.9927320163995528
50,ber,0.9274292742927429
51,epo,0.984873949579832
52,ber,0.5232026929550373
53,deu,0.9993989180524945
54,spa,0.8474407488548098
55,eng,0.9998982188295166
56,rus,1.0
57,rus,1.0
58,tur,0.6776970160673298
59,ber,0.998241968994726
60,heb,1.0
61,deu,0.7111626770884221
62,heb,1.0
63,pol,1.0
64,ukr,1.0
65,ita,0.9360156468287231
66,por,0.9960014540167212
67,kab,0.9419058553386912
68,deu,1.0
69,pol,1.0
70,kab,0.9454871878570262
71,epo,0.9232473492641241
72,fra,0.9979633401221996
73,epo,0.9751032583754016
74,rus,1.0
75,fra,0.6170998632010944
76,fin,1.0
77,por,0.9859767462501109
78,eng,0.7656886715566422
79,pol,0.7683735738922791
80,por,0.5536182485579444
81,eng,0.9983702295260084
82,heb,1.0
83,epo,0.8541932737335036
84,eng,0.2970590309612808
85,epo,0.9476749022543881
86,spa,0.5469208211143695
87,ita,0.9753086419753086
88,ber,0.6968734733756717
89,epo,0.43043026258425837
90,ita,1.0
91,fra,0.6598367482925204
92,heb,1.0
93,rus,1.0
94,eng,0.9997313272434175
95,fin,1.0
96,deu,0.9991408934707904
97,hun,0.9998074330829964
98,rus,1.0
99,fra,0.9997293273785357
100,eng,0.4890751272074229
101,ukr,1.0
102,heb,1.0
103,eng,0.8204457465731925
104,por,0.9320234869015357
105,rus,1.0
106,rus,0.7940082240062659
107,fin,1.0
108,rus,0.5506415783334179
109,por,0.9950044603033006
110,kab,0.9239688830177601
111,fin,0.9949473684210526
112,heb,1.0
113,rus,0.5767054908485857
114,ber,0.7600405973611716
115,kab,0.7199296721481022
116,ita,0.9853107344632769
117,ber,0.9680019246962589
118,tur,0.9986282578875172
119,por,0.9991252624212736
120,hun,0.9818877926667648
121,nld,1.0
122,deu,1.0
123,spa,0.5991535671100363
124,epo,1.0
125,fin,1.0
126,nld,1.0
127,fin,1.0
128,epo,0.43506176285853865
129,epo,0.5516863175212503
130,tur,0.9980139026812314
131,nld,1.0
132,tur,1.0
133,spa,0.9574757281553398
134,ukr,1.0
135,fra,0.7770154373927959
136,ber,0.5608351331893449
137,por,0.9739280327515621
138,heb,1.0
139,nld,0.4557785209959123
140,kab,0.5753096465057409
141,deu,0.9988392338943702
142,fin,1.0
143,ita,0.5355648535564853
144,nld,1.0
145,ita,0.5193028180485421
146,tur,1.0
147,ukr,0.8303669869270751
148,deu,0.998125
149,deu,0.9654770575382374
150,ber,0.7885431400282885
151,hun,1.0
152,hun,1.0
153,fra,1.0
154,ukr,0.6470323538676146
155,deu,0.6681741096664783
156,fin,1.0
157,epo,0.9198880298587043
158,spa,0.667488697081792
159,por,0.9992486851990984
160,spa,0.6307760828415544
161,deu,1.0
162,heb,1.0
163,tur,0.6432919954904172
164,spa,0.6043103448275862
165,por,0.5531392240445054
166,eng,0.9741892786234282
167,spa,0.3662278428527003
168,rus,0.5623877917414721
169,nld,0.41747436437701924
170,deu,0.9988426956289504
171,ber,0.7878787878787878
172,ber,0.6361904761904762
173,ita,0.5478482446206115
174,spa,0.2788900152052712
175,hun,0.5240303064570847
176,fra,0.7346760070052539
177,nld,1.0
178,eng,0.9997182569496619
179,eng,0.9997689463955638
180,ita,0.8624927703875073
181,ita,0.47406392694063926
182,eng,0.421966762464076
183,deu,1.0
184,heb,1.0
185,pol,1.0
186,tur,0.9991158267020336
187,rus,1.0
188,jpn,0.18088097469540768
189,fin,1.0
190,rus,1.0
191,ukr,1.0
192,ber,0.6622574955908289
193,kab,0.976998491704374
194,tur,1.0
195,por,1.0
196,ukr,0.995253164556962
197,heb,1.0
198,fin,0.8335579828026958
199,deu,0.99968671679198
